New/Removal/Class Change,Applicant Name,Applicant Name doesnt match Filing Receipt,"As the applicant is a corporation, LLC or LLP, the applicant name must be the same as the name on the filing receipt.",TRUE,10/14/2022 20:04
New/Removal/Class Change,Applicant Name,Secretary of State filing receipt missing,Submit a copy of the Secretary of State filing receipt for the corp/LLC/LLP,TRUE,10/14/2022 20:04
New/Removal/Class Change,Applicant Name,Corporate Minutes Missing,Provide a copy of the corporate minutes for the applicant entity,TRUE,10/14/2022 20:04
New/Removal/Class Change,Applicant Name,LLC Operating Agreement Missing,Provide a copy of the LLC operating agreement for the applicant entity,TRUE,10/14/2022 20:04
New/Removal/Class Change,Applicant Name,Organizational Chart Needed,Provide a clear organizational chart for the applicant entity.  Each holding corporation should be listed.  All principals of each entity should be listed along with their percentage of ownership.,TRUE,10/14/2022 20:04
New/Removal/Class Change,Premises Address,Prem Address does not match Lease,Premises address does not match the address listed on lease.,TRUE,10/14/2022 20:04
New/Removal/Class Change,Premises Address,Prem Address does not match bill of sale,Premises address does not match the address listed on the bill of sale.,TRUE,10/14/2022 20:04
New/Removal/Class Change,Premises Address,PremAddress does not match deed,Premises address does not match the address listed on the deed.,TRUE,10/14/2022 20:04
New/Removal/Class Change,Premises Address,Prem address not same on all docs or physical loc. ,Premises address must be written the same on all documents and must be the physical location of the premises (not the mailing address).,TRUE,10/14/2022 20:04
New/Removal/Class Change,Contact,Missing NOA/Attorney/Rep,Submit a Notice of Appearance or the attorney or representative.,TRUE,10/14/2022 20:04
New/Removal/Class Change,Right to Premises,Lease Missing,Entity owning real property does not match applicant name – A lease between the two parties is required and must be submitted.  ,TRUE,10/14/2022 20:04
New/Removal/Class Change,Right to Premises,Lease Term Incorrect,The lease must run the full term of the license period (please take processing time into consideration when determining the end date of the lease).  Provide either a new lease document or an amendment/rider to the existing one (signed by both landlord and tenant).  ,TRUE,10/14/2022 20:04
New/Removal/Class Change,Landlord Identification,Landlord Name Missing from Deed,Landlord name must be the name shown on the deed.,TRUE,10/14/2022 20:04
New/Removal/Class Change,Landlord Identification,Landlord Principals Missing,All principals of the landlord entity must be listed.,TRUE,10/14/2022 20:04
New/Removal/Class Change,Landlord Identification,Deed Missing,"To verify ownership, submit a copy of the deed.",TRUE,10/14/2022 20:04
New/Removal/Class Change,Financial Disclosure,Source of Funds Missing,The source of ALL funds (cash and borrowed) must be listed on this form.,TRUE,10/14/2022 20:04
New/Removal/Class Change,Financial Disclosure,Financial Docs Missing,Submit financial documentation proving the availability of the funds listed.  You must submit 3 consecutive months-worth of statements from checking or savings accounts showing the availability of the funds at the time they were expended.,TRUE,10/14/2022 20:04
New/Removal/Class Change,Financial Disclosure,Executed Loan Agreements Missing,Submit a copy of all executed loan agreements.  ,TRUE,10/14/2022 20:04
New/Removal/Class Change,500 Foot Rule Statement,500 foot Premises Missing,Provide the name and address of all on premises liquor establishments located within 500 feet of your establishment.,TRUE,10/14/2022 20:04
New/Removal/Class Change,501 Foot Rule Statement,500 Foot Statement Missing,Provide a statement addressing why you believe it would be in the public’s interest to issue this license.,TRUE,10/14/2022 20:04
New/Removal/Class Change,Statement of Area Plan,Statement of Area Plan Missing,Please complete the Statement of Area Plan form,TRUE,10/14/2022 20:04
New/Removal/Class Change,Personal Questionnaire,Personal Questionnaire missing for {},Provide a personal questionnaire for __________________.,TRUE,10/14/2022 20:04
New/Removal/Class Change,Personal Questionnaire,,,TRUE,10/14/2022 20:04
New/Removal/Class Change,Personal Questionnaire,Residence Address (past) Missing,Provide residence addresses for the last 5 consecutive years.,TRUE,10/14/2022 20:04
New/Removal/Class Change,Personal Questionnaire,Employment Info (past) Missing,"Provide employment information for the last 5 consecutive years.  If unemployed for any period of time during the past 5 years, that must also be reflected.",TRUE,10/14/2022 20:04
New/Removal/Class Change,Personal Questionnaire,Amend License history for {},________________ has/had license history with the Authority.  Amend question five to reflect all license history.,TRUE,10/14/2022 20:04
New/Removal/Class Change,Personal Questionnaire,Conviction Record found for {},"The Department of Criminal Justice Services has advised us that ________________________ has a conviction record. Amend question 6b to reflect the correct answer and provide a signed statement as to why the question was originally answered no.  Submit a Certificate of Disposition for all arrests and convictions. If convicted of a felony, you must submit a Certificate of Relief from Disabilities.",TRUE,10/14/2022 20:04
New/Removal/Class Change,Diagrams,Label all Rooms and Bars,Amend the diagram labeling all rooms and bars,TRUE,10/14/2022 20:04
New/Removal/Class Change,Diagrams,Include Food Prep Area,Amend the diagram to include the food prep area,TRUE,10/14/2022 20:04
New/Removal/Class Change,Diagrams,Diagram of Basement Missing,Provide a diagram of the basement,TRUE,10/14/2022 20:04
New/Removal/Class Change,Diagrams,Block Plot Diagram Missing,Provide a block plot diagram,TRUE,10/14/2022 20:04
New/Removal/Class Change,Diagrams,Outside Area Diagram Missing,Add the outside area to the diagram ,TRUE,10/14/2022 20:04
New/Removal/Class Change,Photos,Interior Color Photos Missing,"Submit color photos of the interior of the premises including all dining areas, the bar and at least one of the kitchen.  Place the serial number on the back of each photo.",TRUE,10/14/2022 20:04
New/Removal/Class Change,Photos,Front Exterior Color Photo Missing,Submit one color photo of the front exterior of the premises.  Place the serial number on the back of the photo.,TRUE,10/14/2022 20:04
New/Removal/Class Change,Photos,Outside Area Color Photo Missing,"Submit color photos of any outside area (deck, patio, yard) to be licensed.  The photos must show how the area is contained (fencing, shrubbery, roping off).  Place the serial number on the back of the photos.",TRUE,10/14/2022 20:04
New/Removal/Class Change,Photos,Applicant Color Photo Missing,Provide a color photo of the applicant (no smaller than passport size) for _______________.,TRUE,10/14/2022 20:04
